"Timestamp","State","LocalAddress","LocalPort","RemoteAddress","RemotePort","OwningProcess"
"2026-06-18T06:18:37.8534001+00:00","Established","127.0.0.1","4449","127.0.0.1","52064","4784"
"2026-06-18T06:18:37.8534001+00:00","Established","127.0.0.1","4449","127.0.0.1","52062","4784"
"2026-06-18T06:18:37.8534001+00:00","Listen","127.0.0.1","4449","0.0.0.0","0","4784"
"2026-06-18T06:18:38.5432936+00:00","Bound","0.0.0.0","50771","0.0.0.0","0","4784"
"2026-06-18T06:18:38.5432936+00:00","Established","172.31.45.235","50771","188.245.149.150","4222","4784"
"2026-06-18T06:18:38.5589240+00:00","Listen","127.0.0.1","44051","0.0.0.0","0","3816"
"2026-06-18T06:18:38.5589240+00:00","Listen","127.0.0.1","44050","0.0.0.0","0","4784"
"2026-06-18T06:18:38.5589240+00:00","Established","127.0.0.1","4449","127.0.0.1","52062","4784"
"2026-06-18T06:18:38.5589240+00:00","Established","127.0.0.1","4449","127.0.0.1","52064","4784"
"2026-06-18T06:18:38.5589240+00:00","Established","127.0.0.1","4449","127.0.0.1","52069","4784"
"2026-06-18T06:18:38.5589240+00:00","Established","127.0.0.1","4449","127.0.0.1","52066","4784"
"2026-06-18T06:18:38.5589240+00:00","Established","127.0.0.1","4449","127.0.0.1","52065","4784"
"2026-06-18T06:18:38.5589240+00:00","Established","127.0.0.1","4449","127.0.0.1","52063","4784"
"2026-06-18T06:18:38.5589240+00:00","Listen","127.0.0.1","4449","0.0.0.0","0","4784"
"2026-06-18T06:18:39.2378539+00:00","Bound","0.0.0.0","50771","0.0.0.0","0","4784"
"2026-06-18T06:18:39.2386935+00:00","Established","172.31.45.235","50771","188.245.149.150","4222","4784"
"2026-06-18T06:18:39.2386935+00:00","Listen","127.0.0.1","44051","0.0.0.0","0","3816"
"2026-06-18T06:18:39.2386935+00:00","Listen","127.0.0.1","44050","0.0.0.0","0","4784"
"2026-06-18T06:18:39.2386935+00:00","Established","127.0.0.1","4449","127.0.0.1","52062","4784"
"2026-06-18T06:18:39.2386935+00:00","Listen","127.0.0.1","4449","0.0.0.0","0","4784"
"2026-06-18T06:18:39.2386935+00:00","Established","127.0.0.1","4449","127.0.0.1","52064","4784"
"2026-06-18T06:18:39.2386935+00:00","Established","127.0.0.1","4449","127.0.0.1","52069","4784"
"2026-06-18T06:18:39.2386935+00:00","Established","127.0.0.1","4449","127.0.0.1","52066","4784"
"2026-06-18T06:18:39.2386935+00:00","Established","127.0.0.1","4449","127.0.0.1","52065","4784"
"2026-06-18T06:18:39.2386935+00:00","Established","127.0.0.1","4449","127.0.0.1","52063","4784"
"2026-06-18T06:18:39.8873087+00:00","Bound","0.0.0.0","50771","0.0.0.0","0","4784"
"2026-06-18T06:18:39.8873087+00:00","Established","172.31.45.235","50771","188.245.149.150","4222","4784"
"2026-06-18T06:18:39.8873087+00:00","Listen","127.0.0.1","44051","0.0.0.0","0","3816"
"2026-06-18T06:18:39.8873087+00:00","Listen","127.0.0.1","44050","0.0.0.0","0","4784"
"2026-06-18T06:18:39.8873087+00:00","Established","127.0.0.1","4449","127.0.0.1","52062","4784"
"2026-06-18T06:18:39.8873087+00:00","Established","127.0.0.1","4449","127.0.0.1","52064","4784"
"2026-06-18T06:18:39.8873087+00:00","Established","127.0.0.1","4449","127.0.0.1","52069","4784"
"2026-06-18T06:18:39.8873087+00:00","Established","127.0.0.1","4449","127.0.0.1","52066","4784"
"2026-06-18T06:18:39.8873087+00:00","Established","127.0.0.1","4449","127.0.0.1","52065","4784"
"2026-06-18T06:18:39.8873087+00:00","Established","127.0.0.1","4449","127.0.0.1","52063","4784"
"2026-06-18T06:18:39.8873087+00:00","Listen","127.0.0.1","4449","0.0.0.0","0","4784"
"2026-06-18T06:18:40.5039129+00:00","Bound","0.0.0.0","50771","0.0.0.0","0","4784"
"2026-06-18T06:18:40.5195172+00:00","Established","172.31.45.235","50771","188.245.149.150","4222","4784"
"2026-06-18T06:18:40.5195172+00:00","Listen","127.0.0.1","44051","0.0.0.0","0","3816"
"2026-06-18T06:18:40.5195172+00:00","Listen","127.0.0.1","44050","0.0.0.0","0","4784"
"2026-06-18T06:18:40.5195172+00:00","Established","127.0.0.1","4449","127.0.0.1","52064","4784"
"2026-06-18T06:18:40.5195172+00:00","Established","127.0.0.1","4449","127.0.0.1","52063","4784"
"2026-06-18T06:18:40.5195172+00:00","Established","127.0.0.1","4449","127.0.0.1","52066","4784"
"2026-06-18T06:18:40.5195172+00:00","Established","127.0.0.1","4449","127.0.0.1","52070","4784"
"2026-06-18T06:18:40.5195172+00:00","Established","127.0.0.1","4449","127.0.0.1","52069","4784"
"2026-06-18T06:18:40.5195172+00:00","Established","127.0.0.1","4449","127.0.0.1","52065","4784"
"2026-06-18T06:18:40.5195172+00:00","Established","127.0.0.1","4449","127.0.0.1","52062","4784"
"2026-06-18T06:18:40.5195172+00:00","Listen","127.0.0.1","4449","0.0.0.0","0","4784"
"2026-06-18T06:18:41.1814936+00:00","Bound","0.0.0.0","50771","0.0.0.0","0","4784"
